시설명,시설유형,도로명 주소,lat,lon,행정구역
동화메디케어,재가노인복지시설,"인천광역시 부평구 주부토로 294, 101호 (갈산동)",37.52060839,126.7291262,부평구
드림재가복지센터,재가노인복지시설,"인천광역시 부평구 부평대로 256, 302호 (갈산동)",37.51423647,126.7214519,부평구
들꽃피는실버요양원,노인의료복지시설,인천광역시 부평구 세월천로 188 (청천동),37.51712261,126.6904309,부평구
라온실버케어 요양원,노인의료복지시설,"인천광역시 부평구 길주남로 158, 502호 (부개동)",37.50359797,126.7393218,부평구
리움재가복지센터,재가노인복지시설,"인천광역시 부평구 경원대로1256번길 18, 1층 (부평동)",37.48835347,126.7101669,부평구
미소노인복지센터,재가노인복지시설,"인천광역시 부평구 마장로 49, 106동 202호 (십정동)",37.48305578,126.7077252,부평구
미소드림재가복지센터,재가노인복지시설,"인천광역시 부평구 항동로 3, 다동 1층 4호 (부개동)",37.48482099,126.7359962,부평구
미소요양원,노인의료복지시설,인천광역시 부평구 평천로142번길 27 (청천동),37.5185859,126.7063101,부평구
바른요양원,노인의료복지시설,"인천광역시 부평구 부평북로 408, 302호 (삼산동, 주영빌딩)",37.52230829,126.7389394,부평구
바오로노인복지용구,재가노인복지시설,"인천광역시 부평구 부흥로327번길 21-1, 2층 (부평동)",37.4994069,126.7282639,부평구
밝은재가복지센터,재가노인복지시설,"인천광역시 부평구 경인로1118번길 14-7, 1층 11호 (일신동)",37.4847184,126.7432796,부평구
밝은햇살요양원,노인의료복지시설,"인천광역시 부평구 부개로 61-14, 4층 (부개동, 대현프라자)",37.50331436,126.7389194,부평구
보원재가노인복지센터,재가노인복지시설,"인천광역시 부평구 부영로 196, 204호 (부평동)",37.50264921,126.7181207,부평구
봄날인천요양원,노인의료복지시설,"인천광역시 부평구 안남로 413 (청천동,지하1층지상1,2,3,4층)",37.51970771,126.7100238,부평구
봄봄재가노인복지센터,재가노인복지시설,"인천광역시 부평구 길주남로 155, 4016호 (부개동)",37.50403578,126.7389751,부평구
봄빛재가복지센터,재가노인복지시설,"인천광역시 부평구 부영로 165, 126동 309-1호 (산곡동, 우성상가)",37.50027847,126.7130494,부평구
부평 휴(休) 실버케어센터,재가노인복지시설,"인천광역시 부평구 경원대로 1442, 4,5,6층 (부평동)",37.49079228,126.7290318,부평구
부평 휴(休) 요양원,노인의료복지시설,"인천광역시 부평구 경원대로 1442, 3층 (부평동)",37.49079228,126.7290318,부평구
부평구 구립 치매전담형 주간보호센터 행복의집,재가노인복지시설,"인천광역시 부평구 주부토로 65, 5층 (부평동)",37.50082235,126.7249941,부평구
부평어르신요양원,노인의료복지시설,"인천광역시 부평구 체육관로 20, 10층 (삼산동, 유림프라자)",37.50834306,126.7339487,부평구
부평은빛실버홈,노인의료복지시설,인천광역시 부평구 경원대로1256번길 10 (부평동),37.48844825,126.7097695,부평구
