,식당명,행정구역,도로명 주소,lat,lon,식당 설명,영업 시간,top_category,sub_category
246,미락초밥,미추홀구,인천 미추홀구 용정공원로83번길 49,37.44756775,126.6485908,,매일 11:30~21:00<br>평일 브레이크 타임: 15:30~16:30,일식,생선
247,드림팰리스 뷔페,미추홀구,인천 미추홀구 주안로 103-18,37.46457632,126.6816779,,10:00~20:00<br>브레이크 타임 없음,기타,기타
248,바다해물탕,남동구,인천 남동구 하촌로 58,37.45288895,126.7335274,,매일10:30~23:00<br>평일 브레이크 타임: 15:00~17:00,한식,탕
249,백암왕순대,연수구,인천 연수구 청능대로113번길 10,37.41283865,126.6772132,,평일 11:00~21:30<br>평일 브레이크 타임(15:00~16:30),기타,분식
250,컵피,연수구,인천광역시 연수구 송도과학로28번길 8 더샵 송도트리플타워 East,37.38251442,126.6606774,"WHERE A SCENT STAYS, 향기가 머무르는 곳- 맛의 향기, 공간의 향기를 표현한다. <br>컵피는 수제 디저트와 스폐셜티 커피, 아늑한 공간을 제공하는 브랜드이며, 모든 디저트는 유기농 밀가루, 프랑스 발효 버터 및 건강한 재료로 모두 수제로 만들고 있다.<br>녹차아이스크림이 들어간 말차포가토가 인기메뉴이며, 아이스크림을 조금 맛본 뒤 나머지를 섞어 먹으면 시원하고 개운한 녹차라떼가 된다.<br>초코 및 단호박 바스크치즈케이크도 별미이니 곁들여 먹기 좋다.",,디저트,카페/빵
251,보릿고개 인천연수점,연수구,인천광역시 연수구 샘말로38번길 11,37.41285845,126.6794942,"보릿고개 인천 연수점은 인천 연수구 연수동에 있다. 이곳은 인근 공영주차장이나 지정 유료주차장을 이용할 시 1시간 무료 주차권을 제공하고 있다. 이곳의 대표 메뉴는 보리밥정식이다. 보리밥 정식을 주문하면 소쿠리에 6가지 나물들과 된장소스, 그 외 5가지의 밑반찬들과 청국장, 들깨삼계탕이 제공된다. 그 외 메뉴는 도토리묵 무침, 우렁이초무침, 들깨백숙, 녹두전, 청국장, 강된장 등 다양한 메뉴가 있다. 판매 중인 메뉴는 배달 주문을 할 수 있다. 음식점 인근에는 문화공원, 대형 쇼핑센터, 용담근린공원 등이 있어 연계 관광을 할 수 있다.<br>※ 반려동물 동반 불가",,한식,탕
252,대청마루칼국수,강화군,인천광역시 강화군 시리미로42번길 62-20,37.72772375,126.4749292,"대청마루칼국수는 강화도 선행리마을회관 인근에 있다. 매장 앞 넓은 부지에 대형 주차장이 있어 주차하기 편리하다. 이곳은 동죽 담은 칼국수를 판매하는 식당이다. 매장 안의 홀이 넓어 4인석, 8인석 테이블이 있어서 가족 모임이나 단체 모임 하기 적합하다. 창가 쪽 자리도 있어 밖을 바라보며 식사할 수 있다. 메뉴는 칼국수, 해물파전, 육개장+솥밥이다. 칼국수를 주문하면 먼저 보리밥이 나온다. 고추장소스나 된장소스에 비벼 먹는다. 칼국수 안에는 동죽조개와 해산물이 가득 들어 있다. 파전은 파가 가지런하고 그 위에 오징어, 낙지, 새우가 올려져 있다. 튀김옷을 과하게 쓰지 않아서 느끼함을 잡았다. 식당 인근에 강화읍 고려궁지, 남산근린공원, 용흥궁공원 등이 있어 연계 관광을 할 수 있다.",,한식,탕
253,한상민과자점,계양구,인천광역시 계양구 효서로 381,37.52939592,126.737083,"인천 계양구 작전동 현대아파트 상가에 위치해 있는 한상민 과자점은 인천 지역에서는 소문난 에그타르트 맛집이다. 1993년 개업하여 지금까지 계양구 주민들에게 변함없는 사랑을 받고 있는 유명한 빵집이다. 대표 메뉴는 에그타르트이지만 다양한 종류의 빵들을 판매하고 있으며, 당일 생산 당일 판매를 원칙으로 하고 있다. 당일 판매되지 않은 빵들은 인근 어려운 환경 주민들에게 보내고 있다. 매주 금요일, 토요일, 일요일에는 1만원 구매 시 5천원 상품권을 제공하는 이벤트도 이어가는 중이다.",,디저트,카페/빵
254,고향냉면,동구,인천광역시 동구 화평로 6,37.4777056,126.6305275,1993년쯤 문을 열었다. 깔끔한 실내와 각종 조형물 인테리어로 편안한 분위기에서 음식을 즐길 수 있다.<br>,,한식,면
255,보름돈가스,연수구,인천광역시 연수구 아트센터대로 131 커낼워크D2 SUMMER,37.39943703,126.6367096,"보름돈가스는 일식 돈가스 전문점으로 돈가스 정식이 대표메뉴이다. 돈가스 정식을 바탕으로 돈부리, 나베와 같은 음식을 서비스하고 있다. 보름처럼 풍성한 음식을 지향하는 이곳은 여러 소스(핑크소금, 고추냉이, 카레소스)들을 통해 취향에 맞게 다양하게 돈가스를 즐길 수 있다. 육즙이 가득 살아있는 돈가스는 그 담백한 맛과 부드러움이 일품이다.",,한식,탕
