연번 ,시설종류,시설명,도로명 주소,수용인원,위도,경도
229,경로당,센트럴파크푸르지오경로당,"인천광역시 연수구 센트럴로 160, 101동 2층",,37.39307859,126.6433519
230,경로당,송도더샵그린워크3차17블럭아파트경로당,인천광역시 연수구 아트센터대로 97번길 20,,37.39828818,126.6372159
231,경로당,송도더샵그린워크3차18블럭아파트경로당,"인천광역시 연수구 컨벤시아대로 130번길100, 1805동",,37.3986532,126.6376159
232,경로당,송도더샵하버뷰2 15단지경로당,"인천광역시 연수구 아트센터대로 97번길 56, 1503동 옆",,37.39858254,126.6432302
233,경로당,자이하버뷰1단지경로당,인천광역시 연수구 컨벤시아대로130번길 58(105동 옆 복지동),,37.39597384,126.6404651
234,경로당,자이하버뷰2단지경로당,"인천광역시 연수구 컨벤시아대로130번길 32, 206동 복지동",,37.39567364,126.6425711
235,경로당,코오롱더프라우경로당,"인천광역시 연수구 컨벤시아대로42번길 20, 102동 지하1층",,37.40036263,126.6507653
236,경로당,"푸르지오월드마크1,2단지경로당","인천광역시 연수구 컨벤시아대로 60, 202동 3층",,37.39765839,126.6506669
237,경로당,"푸르지오월드마크7,8단지경로당","인천광역시 연수구 컨벤시아대로 126, 802동 3층",,37.3929257,126.6457375
238,경로당,푸르지오하버뷰아파트경로당,"인천광역시 연수구 컨벤시아대로 130번길 80(102동, 103동 사이)",,37.39755539,126.6408771
239,경로당,더샵그린워크2차아파트경로당,인천광역시 연수구 아트센터대로 97번길 15,,37.40132826,126.6406622
240,경로당,송도롯데캐슬아파트경로당,"인천광역시 연수구 송도과학로27번길 70, 101동 옆",,37.38612157,126.6678567
241,경로당,송도해모로월드뷰아파트경로당,"인천광역시 연수구 송도과학로27번길 30, 남문출입구 304동 옆",,37.38361135,126.6641861
242,경로당,더샵 센트럴시티 아파트 시니어회,"인천광역시 연수구 송도국제대로 261, 213동 옆",,37.3731551,126.6503152
243,경로당,더퍼스트시니어센터(베르디움더퍼스트아파트),"인천광역시 연수구 송도문화로84번길 84, 113동 앞 정문앞",,37.3707171,126.6561957
244,경로당,송도그린스퀘어아파트경로당,인천광역시 연수구 송도문화로 28번길 81,,37.37378319,126.654041
245,경로당,송도글로벌캠퍼스푸르지오아파트경로당,"인천광역시 연수구 송도문화로 28번길 28, 105동",,37.37701831,126.6540736
246,경로당,송도롯데캐슬캠퍼스타운아파트경로당,인천광역시 연수구 송도과학로27번길 55,,37.38923543,126.6651254
247,경로당,송도아메리칸타운아이파크시니어경로당,"인천광역시 연수구 송도과학로27번길 15, 102동",,37.38487599,126.6620747
248,경로당,송도캐슬앤해모로아파트경로당,인천광역시 연수구 송도과학로51번길 136,,37.38502333,126.6767855
249,경로당,송도호반베르디움2차아파트경로당(글로벌파크),"인천광역시 연수구 송도문화로28번길 27, 203동",,37.37603153,126.6560445
250,경로당,에듀포레푸르지오아파트경로당 ,"인천광역시 연수구 송도문화로84번길 24, 204동 뒤",,37.37452325,126.6581149
251,경로당,더샵마스터뷰2단지아파트경로당,"인천광역시 연수구 컨벤시아대로 274번길 35, 2206동",,37.38345577,126.6316351
252,경로당,마스터뷰1단지경로당,인천광역시 연수구 컨벤시아대로 274번길 55,,37.38319335,126.62998
253,경로당,더샵퍼스트파크13단지경로당,"인천광역시 연수구 컨벤시아대로252번길70, 1305동",,37.38858435,126.6317791
254,경로당,더샵퍼스트파크14단지경로당,인천광역시 연수구 컨벤시아대로252번길 50,,37.38801222,126.6337318
255,경로당,더샵퍼스트파크15단지경로당,인천광역시 연수구 컨벤시아대로252번길 30,,37.38685099,126.6353902
256,경로당,아트윈푸르지오아파트경로당,인천광역시 연수구 인천타워대로 253-25,,37.39285385,126.6316564
257,경로당,힐스테이트레이크송도경로당,인천광역시 연수구 아카데미로312번길 177,,37.40176139,126.6204713
258,경로당,힐스테이트레이크송도2차아파트경로당,인천광역시 연수구 아카데미로 446,,37.39806359,126.6201663
259,경로당,송도파크애비뉴시니어클럽,인천광역시 연수구 컨벤시아대로252번길 10,,37.38584093,126.6368764
260,경로당,e편한세상송도아파트경로당,인천광역시 연수구 랜드마크로 113,,37.41340107,126.6180101
261,경로당,더샵송도마리나베이아파트경로당,인천광역시 연수구 랜드마크로 160,,37.41594701,126.6107449
262,경로당,송도오션파크베르디움경로당,인천광역시 연수구 랜드마크로 110,,37.41618464,126.6148751
263,경로당,랜드마크시티센트럴더샵아파트경로당,인천광역시 연수구 랜드마크로 68,,37.41498268,126.6184216
264,경로당,sk뷰아파트경로당,인천광역시 연수구 랜드마크로 19,,37.41421284,126.6250441
